chimera	狮头
creamery	奶油厂
superrational	超理智
glyconeogenesis	糖原生成作用
floristic	花的
yellowstone	黄石河
remedy	补救
infrangibility	不可侵犯
pack	群集
toilless	不费力
uw	underwriter
seichometer	湖震测定器
debugger'	NULL)
conceit	原义:想法
sakhalin	库页岛
liberalist	自由主义者
padishah	国王
glenn	格伦
immortalization	不朽
provocation	挑衅
companionate	友爱的
hypoacidity	酸减低
cylindrical	圆柱
androgenize	给……以雄性激素
troubadour	民谣歌手
methylate	甲基化物
spaceworthy	能作航天飞行的
superduper	极出色
suction	吸入
jobber	临时工
extemporize	当场作成
grazer	吃草的动物
alley	小径
organzine	经丝
batty	蝙蝠
sortation	分类
dextrin	糊精
animalculum	=animalcule
bate	减少
infare	婚宴
symantec	C++
casualism	机缘说
aerocamera	空中照相机
eightscore	一百六十
cranebill	=cranesbill
rigidness	坚硬
salvage	海上救助
incorporeity	无形体
fine	变清
noia	厌烦
lagoon	礁湖
sessile	固着的
sequestered	隐退的
wilson	chamber
bona	good好之意
uri	infection上呼吸道感染
my	嗳呀!啊呀!
snakelike	蛇形的
vanilla	香子兰
unfindable	找不到的
crispation	卷曲
soreness	愤慨
pale	苍白的
marcato	加强
about	左右
consortion	联盟
apposite	适当的
netherlander	荷兰人
above	上面
sclerotioid	菌核的
rasp	用粗锉刀锉
dinantian	狄南统的
blazer	宣布者
outercoat	女式宽大衣
luxation	脱臼
primary	初步
dhl	敦豪速递公司
dowel	用暗销接合
gorse	金雀花
rhomboidal	长菱形的
doings	社交活动
zealot	狂热者
trypsinize	使受胰蛋白酶作用
photostat	直接复印机
kinglike	堂堂
snob	势利的人
eisa	Extended
surfer	冲浪运动员
rabbi	法学博士
unglamorous	没有魅力的
centiliter	厘升
si	Si
weather	露天的
chardin	夏尔丹
extra	非常
ingrained	生染
paleographic	古文书学
townspeople	镇民
wallhanging	壁布
iis	Server
taking	取
swink	使劳累
epiphanic	使人顿悟的
parlous	精明
vexillate	有旗瓣的
impermanent	暂时
azc	American
usng	States
fuzzball	马勃科菌
chd	disease冠心病
bukavu	布卡武(旧称科斯特曼斯维尔
abbreviate	简化
sabbathly	在每一安息日
scua	Suez
shreveport	什里夫波特
scripturally	根据圣经地
vertical	垂直线
busses	巴士
taurine	象公牛的
cardhouse	必然失败的计划
extension	外延
wale	条痕
chronic	慢性
unvalued	未曾估价的
misdirection	指示错误
unexcelled	未被胜过的
primaeval	=primeval
aim	目
incognizance	不知觉
sublime	极端
karyon	细胞核
nii	国家信息基础设施
confusedly	慌乱地
rickety	驼背的
commensal	共生
inappropriate	不相称的
hangtime	悬空时间
temporal	教会财产
bracing	令人鼓舞
alecithal	少蛋黄的
unmanly	怯懦的
plonk	使劲投掷
arrowheaded	箭头形的
excitant	刺激性
boracic	硼
leprose	鳞状
savoury	开胃的菜肴
romanticism	浪漫主义
roofscaping	屋顶景观美化
farriery	蹄铁术
unwed	未婚的
reduction	减少
osteitic	患骨炎
transconfessional	超越教派的
dextrad	向右
pennyworth	少额
commandery	会所
nascar	全国汽车比赛协会
unbuckle	解开扣子
here	这时
salopian	Shropshire地方的或人
extremity	手足
malapropos	不合时宜
sphragistics	印章学
heliotropic	趋日性的
extract	拔出
construct	创立
seasonably	应时地
outshot	一面坡屋
libratory	保持平衡
corrector	校对者
faultfinder	吹毛求疵的人
tail	尾状物
inappropriately	不适当
vibratory	振动的
nauseating	作呕
bowl	碗
immovability	不动
mns	of
msbc	of
colorific	色彩
heaviest	重
fainthearted	胆小
blessedly	幸福
hep	Explosive
wuppertal	伍珀塔尔
anapestic	短短长格的
unclog	清除……的阻塞
massy	厚重的
olg	German
canzona	=canzone
foresight	深谋远虑
epilogist	跋之作者写结束语的人
fetter	束缚
agromania	旷野独处症
venereal	性交的
remotely	偏僻
sateless	无厌
downbow	下弓
crosscut	横切的
preaxial	上肢内恻
tsk	啧啧
cryptology	密码研究
camelback	骑在骆驼背上
fist	抓住
footy	褴褛的
rhizocaline	成根素
slough	抛弃
polymeric	聚合的
unseparated	分不开
