saltimbocca	意式煎小牛肉火腿卷
discursively	推论
baldaquin	锦缎
ingroup	内集团
moppy	蓬乱
undiscernible	辨别不出的
gromwell	紫草属植物
palaestra	体育馆
scuzzy	肮脏的
tame	变得驯服
acerb	尖锐
vein	纹理
waterishlogged	浸水
elusive	难懂
skeptical	好怀疑的
coverlet	被单
schizozoite	裂殖子
tumefacient	膨胀
emanatory	放射
mackinaw	方格纹毛毯
microelement	微型元件
scotch	苏格兰人的
recover	痊愈
woodturner	木工车床工人
percentagewise	从百分比看
hydropress	press
ecology	环境适应学
above	上面的
trochoid	轨迹线
wicked	不道德的
jerreed	钝头木标枪
transformative	有改革能力的
zootomy	动物解剖学
panderess	作淫媒的女人
replace	取代
bulbiform	球状的
inflammation	发火
photoinduction	光感应
raggy	=ragged
bas	BASIC程序的扩展名
compactly	细密地
shapable	样子好
volsci	沃尔西人
yesterdayness	近来
appentice	窗前的雨篷
culminating	到绝顶的
inexpressibly	到不能用语言表达的程度
altogether	完全地
disrupt	使分裂
unobvious	不明显的
polysepalous	离萼的
substantialist	本体论者
inbeing	本性
exterritorial	治外法权
solecistic	失礼的
cypriote	塞浦路斯岛人
obelise	加上剑号或疑问号
hematogenous	血性
syrupy	糖浆似
unfavourably	不适宜地
noho	休北区
jaunty	感到自信和自满
banian	印度商人
sforzato	加强的
praedial	属于土
devilishly	厉害
cephalad	向头部地
let	排放
monaker	=monicker
banaban	巴纳巴岛
kbe	the
rhizogenesis	生根
indifferent	无关紧要的
vasovagal	血管迷走神经的
root	根
unresponsive	感受性迟钝的
iocu	Union
meromixis	半混合
abortive	早产的
presiding	主持会议的
syncretic	汇合的
fathom	看穿
latifolious	=latifoliate
orel	奥廖尔
whitleather	leather
magniloquent	使用夸张语言的
stript	strip
coagulable	可凝结
cowk	干呕
famous	出名的
mid	中部
pattie	=patty
derivative	派生词
aurelia	水母
chronicle	编入编年史
submundane	地下的
judiciable	可被审判的
goniotomy	前房角切开术
intrusion	闯入
rhinolalia	鼻音
hypnosis	催眠状态
corporeally	肉体上
sickening	使人昏晕的
chirpy	活泼的
gerontophil	亲老人癖
floweret	小花
airbag	安全气袋
outvie	竞争胜过
tudory	都铎式装饰
optophone	盲人光电阅读装置
featherheaded	蠢的
impoundment	被坝所围住的水
millier	=metric
soberly	冷静
retake	重摄
gray	广告业
czardas	匈牙利的民间舞蹈和音乐
radices	基数
hagborn	巫婆生
glair	涂蛋白于
limberneck	鸡垂颈病
modifier	改造者
hungarian	匈牙利
ophiophagous	食蛇
homophonous	齐唱
suicidology	自杀学
slickness	花言巧语
empathic	感情移入的
photogenic	易上镜头的
dogmatics	教理神学
moulvi	=maulvi
sterile	不育的
foundry	铸造
dissociability	可分离
phenazocine	苯唑星
oke	没问题
bank	一堆倾斜转弯
airily	快活地
unbalance	使能避免
whoosy	=whoosis
declivous	向下倾斜
fiction	编造
humiliatory	丢脸的
filially	孝顺地
rcaf	加拿大皇家空军
detorsion	身体弯曲处的变直
bidialectal	精通两种方言的
grocery	食品
baccivorous	以浆果为食的
asway	摆动
monozygotic	单精合子的
tactful	机智
roisterous	饮酒取乐的
engraphia	记忆痕迹的形成
hfs	Hierarchial
europeanist	欧洲经济共同体第一主义
bronchus	支气管
null	无效力的
solander	索兰德盒
bios	基本输入输出系统
longipennate	有长翅的
theomorphic	有神之形象的
millenarianism	太平盛世
kernelled	有核仁
ecc	Checking
accessibility	易接近
seromuscular	浆膜肌膜
champion	支持
seminivorous	食种子
estaminet	小餐馆
rental	租用
periodically	周期性
geosynclinal	地槽的
isd	Dialing
detent	扳手
coital	性交
vertical	顶点的
polyesterification	缩聚
sempster	=seamster
sybaris	锡巴里斯
otherwise	不同地
gaga	天真
expositorily	以解说的方式
indissociably	不能分离
balaustine	野石榴花
bladesmith	刀匠
minor	二流的
unlock	开……锁
cmh	Medal
lipstick	唇膏
kernel	精髓
overpunch	上部穿孔
antipruritic	防痒
nix	不要!
scorbutic	坏血病的
hcg	chorionic
monocular	单筒
purvey	供应
stanine	9级记分
trespasser	侵犯者
mutagenesis	变异发生
arginaemia	先天性精氨酸代谢失常
bath	浴室
alchemically	炼丹术地
please	使满足
wandsworth	旺兹沃思
dendritic	树枝状的
turner	车床工
misfit	不适合
lengthiness	冗长
procession	行列
theretofore	到那时为止
autotrophic	自给营养
square	使直
shave	刨
resnatron	谐振腔四极管
regretful	后悔
halfbeak	鱼箴科鱼
thunk	铮
aposteriori	归纳
dropsical	水肿的
repeatedly	重复
liturgiology	=liturgics
overclaim	越权的要求
innumeracy	数学盲
snapshoot	快镜拍摄
antislavery	反对奴隶制度
quixotic	狂想家
clart	泥土
tirelessly	不屈不挠
qda	quantity
nur	National
angustifoliate	窄叶的
eudaemonic	幸福学
contributing	起作用
bmoc	campus
thole	桨架
possession	财产
adwoman	从事广告工作的女人
inseverably	不可分离
novel	异常
sycamore	枫树的一种
tarnishproof	保持光泽的
preventorium	防痨疗养院
sneezy	引起喷嚏
plutodemocracy	金权民主主义
cerotype	蜡版之模子
